jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
15,37.5,38.40185057175822,0.9018505717582173,743.0285078050011,cross,tertiary,Rue de Genève,84220099,45.90462992760044,5.196655611978893
15,37.5,38.459807717906166,0.9598077179061661,798.8090411228275,cross,tertiary,Rue de Genève,653766392,45.90471381671865,5.197394884833093
15,37.5,38.47514301182513,0.9751430118251321,813.6192804082367,cross,tertiary,Rue de Genève,653766393,45.90473601353767,5.19759049430076
15,37.5,38.486956324898856,0.9869563248988555,825.0411962782974,cross,tertiary,,653766391,45.90475311252344,5.197741179112798
15,37.5,38.50641401829699,1.0064140182969865,837.1859556779332,cross,residential,Rue Saint-Julien,653766399,45.904838716779494,5.19790963336557
16,40.0,38.99582079499949,-1.0041792050005114,896.5015486347214,cross,tertiary,Route de Villieu,663163148,45.906041796634106,5.203638203365889
16,40.0,39.071046411266956,-0.9289535887330445,828.7550517068324,cross,residential,Rue Laplantaz,90064309,45.90647697652153,5.204282092625042
16,40.0,39.39017098224177,-0.60982901775823,572.0777818409895,cross,residential,Voie Pour Pompiers,282566873,45.907874314374695,5.20771930258618
16,40.0,39.42895403649226,-0.5710459635077427,543.5664229249064,cross,residential,Rue de Chavagneux,663163146,45.908050719364276,5.208149010480118
16,40.0,39.547874672772444,-0.45212532722755583,428.4226229913865,cross,residential,Impasse Champollon,90064311,45.90899194276611,5.208872209985711
16,40.0,39.59694868573501,-0.4030513142649923,380.1416382923464,cross,residential,Rue de Chavagneux,86966850,45.909401098666045,5.2091099627383795
16,40.0,39.65033958530394,-0.3496604146960607,329.3348527000087,cross,residential,Rue de Chavagneux,663163141,45.90982650206888,5.209428719799304
16,40.0,39.818715326088196,-0.18128467391180436,171.60067461747502,cross,residential,Rue de Chavagneux,663163143,45.91122074041149,5.210273110318825
16,40.0,39.99437935249335,-0.0056206475066531425,5.620653008609368,cross,residential,Rue de la Croze,90064303,45.91270890636819,5.210027206921162
16,40.0,40.4637067397992,0.46370673979919985,456.46612335349226,cross,unclassified,Chemin de Chavagneux,189725233,45.91611231648117,5.2134504382876745
16,40.0,40.809083351000716,0.8090833510007158,796.3729911269252,cross,residential,Rue de la Chatillonnière,189696428,45.918170873606165,5.216790564427834
16,40.0,40.90047199553829,0.9004719955382896,885.044155320953,cross,residential,Rue du Clos de la Chatillonière,189696429,45.91863499703743,5.2177651884953065
16,40.0,40.952525647303894,0.9525256473038937,935.7199779915422,cross,residential,Impasse le Petit Chatillon,1193568200,45.91889687673,5.218322958230136
